año,mes,dia,hora(utc),altura(mm)
2016,7,19,1,-203
2016,7,19,2,-190
2016,7,19,3,-142
2016,7,19,4,-72
2016,7,19,5,8
2016,7,19,6,95
2016,7,19,7,178
2016,7,19,8,243
2016,7,19,9,283
2016,7,19,10,299
2016,7,19,11,294
2016,7,19,12,278
2016,7,19,13,257
2016,7,19,14,240
2016,7,19,15,231
2016,7,19,16,223
2016,7,19,17,207
2016,7,19,18,184
2016,7,19,19,155
2016,7,19,20,111
2016,7,19,21,51
2016,7,19,22,-23
2016,7,19,23,-99
2016,7,20,0,-164
2016,7,20,1,-205
2016,7,20,2,-215
2016,7,20,3,-190
2016,7,20,4,-131
2016,7,20,5,-53
2016,7,20,6,35
2016,7,20,7,126
2016,7,20,8,207
2016,7,20,9,265
2016,7,20,10,295
2016,7,20,11,300
2016,7,20,12,287
2016,7,20,13,266
2016,7,20,14,246
2016,7,20,15,231
2016,7,20,16,226
2016,7,20,17,219
2016,7,20,18,205
2016,7,20,19,185
2016,7,20,20,155
2016,7,20,21,106
2016,7,20,22,40
2016,7,20,23,-37
2016,7,21,0,-112
2016,7,21,1,-171
2016,7,21,2,-202
2016,7,21,3,-202
2016,7,21,4,-166
2016,7,21,5,-101
2016,7,21,6,-19
2016,7,21,7,72
2016,7,21,8,162
2016,7,21,9,235
2016,7,21,10,281
2016,7,21,11,298
2016,7,21,12,292
2016,7,21,13,273
2016,7,21,14,252
2016,7,21,15,233
2016,7,21,16,222
2016,7,21,17,220
2016,7,21,18,216
2016,7,21,19,206
2016,7,21,20,189
2016,7,21,21,159
2016,7,21,22,109
2016,7,21,23,42
2016,7,22,0,-33
2016,7,22,1,-101
2016,7,22,2,-149
2016,7,22,3,-169
2016,7,22,4,-160
2016,7,22,5,-119
2016,7,22,6,-51
2016,7,22,7,30
2016,7,22,8,116
2016,7,22,9,196
2016,7,22,10,255
2016,7,22,11,286
2016,7,22,12,290
2016,7,22,13,275
2016,7,22,14,254
2016,7,22,15,233
2016,7,22,16,217
2016,7,22,17,210
2016,7,22,18,212
2016,7,22,19,213
2016,7,22,20,208
2016,7,22,21,195
2016,7,22,22,167
2016,7,22,23,120
2016,7,23,0,59
2016,7,23,1,-7
2016,7,23,2,-62
2016,7,23,3,-96
2016,7,23,4,-107
2016,7,23,5,-92
2016,7,23,6,-49
2016,7,23,7,16
2016,7,23,8,89
2016,7,23,9,162
2016,7,23,10,226
2016,7,23,11,266
2016,7,23,12,279
2016,7,23,13,270
2016,7,23,14,249
2016,7,23,15,227
2016,7,23,16,207
2016,7,23,17,193
2016,7,23,18,191
2016,7,23,19,199
2016,7,23,20,206
2016,7,23,21,206
2016,7,23,22,200
2016,7,23,23,179
2016,7,24,0,141
2016,7,24,1,91
2016,7,24,2,41
2016,7,24,3,2
2016,7,24,4,-18
2016,7,24,5,-22
2016,7,24,6,-5
2016,7,24,7,37
2016,7,24,8,93
2016,7,24,9,151
2016,7,24,10,206
2016,7,24,11,248
2016,7,24,12,267
2016,7,24,13,263
2016,7,24,14,243
2016,7,24,15,217
2016,7,24,16,192
2016,7,24,17,171
2016,7,24,18,160
2016,7,24,19,163
2016,7,24,20,177
2016,7,24,21,190
2016,7,24,22,199
2016,7,24,23,203
2016,7,25,0,194
2016,7,25,1,170
2016,7,25,2,137
2016,7,25,3,104
2016,7,25,4,82
2016,7,25,5,72
2016,7,25,6,74
2016,7,25,7,91
2016,7,25,8,127
2016,7,25,9,169
2016,7,25,10,209
2016,7,25,11,243
2016,7,25,12,263
2016,7,25,13,262
2016,7,25,14,243
2016,7,25,15,213
2016,7,25,16,179
2016,7,25,17,149
2016,7,25,18,126
2016,7,25,19,117
2016,7,25,20,125
2016,7,25,21,144
2016,7,25,22,164
2016,7,25,23,186
2016,7,26,0,204
2016,7,26,1,211
2016,7,26,2,203
2016,7,26,3,189
2016,7,26,4,175
2016,7,26,5,165
2016,7,26,6,163
2016,7,26,7,167
2016,7,26,8,183
2016,7,26,9,209
2016,7,26,10,235
2016,7,26,11,257
2016,7,26,12,273
2016,7,26,13,275
2016,7,26,14,257
2016,7,26,15,224
2016,7,26,16,183
2016,7,26,17,138
2016,7,26,18,100
2016,7,26,19,74
2016,7,26,20,65
2016,7,26,21,76
2016,7,26,22,99
2016,7,26,23,131
2016,7,27,0,169
2016,7,27,1,204
2016,7,27,2,227
2016,7,27,3,238
2016,7,27,4,242
2016,7,27,5,241
2016,7,27,6,240
2016,7,27,7,241
2016,7,27,8,246
2016,7,27,9,256
2016,7,27,10,272
2016,7,27,11,285
2016,7,27,12,295
2016,7,27,13,298
2016,7,27,14,285
2016,7,27,15,254
2016,7,27,16,209
